GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
161113A	179.794	-5.316	1.0	42.60
161108A	180.776	24.905	1.9	105.1
161105A	120.198	-44.763	1.2	177.3
161104A	77.906	-51.447	1.8	0.1
161022A	128.988	54.366	2.1	7.3
161017A	142.770	43.125	1.0	216.3
161014A	332.626	7.467	1.5	18.3
161011A	245.687	8.313	2.4	4.3
161007A	103.408	23.289	1.6	201.7
161004B	112.156	-39.896	1.0	15.9
161004A	263.127	-0.947	2.2	~1.3 to ~3
161001A	71.923	-57.261	1.0	2.6
160927A	256.268	17.334	1.8	0.48
160917A	295.652	46.400	1.5	16
160912A	301.595	57.585	2.7	n/a
160905A	162.249	-50.803	1.0	64
160826A	183.120	-67.664	2.6	52.6
160824A	80.087	40.039	1.2	99.3
160821B	280.005	62.387	1.4	0.48
160815A	288.616	84.298	1.0	8.6
160804A	221.652	10.002	1.3	144.2
160801A	212.763	13.485	1.8	2.85
160716A	190.502	-61.364	2.0	6.39
160712A	304.166	-26.965	1.3	n/a
160705B	168.107	46.707	2.3	54.4
160703A	287.414	36.913	1.0	44.4
160630A	198.238	-56.029	1.4	29.50
160625A	176.939	-65.142	1.0	53.9
160624A	330.210	29.667	2.6	0.2
160611A	164.417	-70.396	1.2	34.1
160607A	13.661	-4.952	1.0	33.4
160601A	234.923	64.532	1.9	0.12
160525B	149.438	51.197	2.2	0.29
160506A	265.857	-46.127	1.6	254.5
160504A	170.073	56.002	1.7	53.9
160501A	286.389	-17.249	1.8	118
160425A	280.339	-54.343	3.5	304.58
160424A	319.482	-60.408	1.2	6.3
160417A	120.260	7.646	1.9	15
160412A	33.074	-67.636	1.0	31.6
160411A	349.370	-40.258	2.4	0.36
160410A	150.695	3.461	1.5	8.2
160408A	122.561	71.128	1.8	0.32
160327A	146.698	54.018	1.0	28
160325A	15.697	-72.702	1.0	64.9
160321A	99.420	5.753	1.6	33.6
160314A	112.766	17.024	1.7	8.73
160313A	183.821	57.278	2.0	42.6
160303A	168.710	22.710	2.1	5.0
160228A	107.311	26.946	1.3	98.36
160227A	195.034	78.672	2.8	316.5
160225A	164.217	53.659	1.9	157
160223A	147.603	9.369	1.0	127
160220B	259.851	-18.123	1.0	31.4
160220A	236.942	-18.539	1.8	8.3
160216A	311.679	-71.550	1.0	11.0
160203A	161.967	-24.772	1.7	20.2
160131A	78.170	-7.037	1.1	325
160127A	225.966	0.080	1.8	6.16
160123A	150.277	-33.790	1.6	3.95
160121A	109.080	-23.590	1.2	12.0
160119A	211.916	20.453	2.0	116
160117B	132.190	-16.340	3	n/a
160117A	20.367	-0.677	1.8	118.58
